Strategy,Squeeze,Extension,CPR,Aggression,Pyramiding,Trailing_SL,Net PnL,Win Rate,Sharpe Ratio,Total Trades,Max Drawdown
ema_crossover,False,True,False,True,True,False,0,0,0,0,0
ema_crossover,False,True,False,True,False,True,0,0,0,0,0
ema_crossover,False,True,False,True,False,False,0,0,0,0,0
ema_crossover,False,True,False,False,True,True,0,0,0,0,0
ema_crossover,False,True,False,False,True,False,0,0,0,0,0
ema_crossover,False,True,False,False,False,True,0,0,0,0,0
ema_crossover,False,True,False,False,False,False,0,0,0,0,0
ema_crossover,False,False,True,True,True,True,0,0,0,0,0
ema_crossover,False,False,True,True,True,False,0,0,0,0,0
ema_crossover,False,False,True,True,False,True,0,0,0,0,0
ema_crossover,False,False,True,True,False,False,0,0,0,0,0
ema_crossover,False,False,True,False,True,True,0,0,0,0,0
ema_crossover,False,False,True,False,True,False,0,0,0,0,0
ema_crossover,False,False,True,False,False,True,0,0,0,0,0
ema_crossover,False,False,True,False,False,False,0,0,0,0,0
ema_crossover,False,False,False,True,True,True,0,0,0,0,0
ema_crossover,False,False,False,True,True,False,0,0,0,0,0
ema_crossover,False,False,False,True,False,True,0,0,0,0,0
ema_crossover,False,False,False,True,False,False,0,0,0,0,0
ema_crossover,False,False,False,False,True,True,0,0,0,0,0
ema_crossover,False,False,False,False,True,False,0,0,0,0,0
ema_crossover,False,False,False,False,False,True,0,0,0,0,0
ema_crossover,False,False,False,False,False,False,0,0,0,0,0
ema_rsi,True,True,True,True,True,True,0,0,0,0,0
ema_rsi,True,True,True,True,True,False,0,0,0,0,0
ema_rsi,True,True,True,True,False,True,0,0,0,0,0
ema_rsi,True,True,True,True,False,False,0,0,0,0,0
ema_rsi,True,True,True,False,True,True,0,0,0,0,0
ema_rsi,True,True,True,False,True,False,0,0,0,0,0
ema_rsi,True,True,True,False,False,True,0,0,0,0,0
ema_rsi,True,True,True,False,False,False,0,0,0,0,0
ema_rsi,True,True,False,True,True,True,0,0,0,0,0
ema_rsi,True,True,False,True,True,False,0,0,0,0,0
ema_rsi,True,True,False,True,False,True,0,0,0,0,0
ema_rsi,True,True,False,True,False,False,0,0,0,0,0
ema_rsi,True,True,False,False,True,True,0,0,0,0,0
ema_rsi,True,True,False,False,True,False,0,0,0,0,0
ema_rsi,True,True,False,False,False,True,0,0,0,0,0
ema_rsi,True,True,False,False,False,False,0,0,0,0,0
ema_rsi,True,False,True,True,True,True,0,0,0,0,0
ema_rsi,True,False,True,True,True,False,0,0,0,0,0
ema_rsi,True,False,True,True,False,True,0,0,0,0,0
ema_rsi,True,False,True,True,False,False,0,0,0,0,0
ema_rsi,True,False,True,False,True,True,0,0,0,0,0
ema_rsi,True,False,True,False,True,False,0,0,0,0,0
ema_rsi,True,False,True,False,False,True,0,0,0,0,0
ema_rsi,True,False,True,False,False,False,0,0,0,0,0
ema_rsi,True,False,False,True,True,True,0,0,0,0,0
ema_rsi,True,False,False,True,True,False,0,0,0,0,0
ema_rsi,True,False,False,True,False,True,0,0,0,0,0
ema_rsi,True,False,False,True,False,False,0,0,0,0,0
ema_rsi,True,False,False,False,True,True,0,0,0,0,0
ema_rsi,True,False,False,False,True,False,0,0,0,0,0
ema_rsi,True,False,False,False,False,True,0,0,0,0,0
ema_rsi,True,False,False,False,False,False,0,0,0,0,0
ema_rsi,False,True,True,True,True,True,0,0,0,0,0
ema_rsi,False,True,True,True,True,False,0,0,0,0,0
ema_rsi,False,True,True,True,False,True,0,0,0,0,0
ema_rsi,False,True,True,True,False,False,0,0,0,0,0
ema_rsi,False,True,True,False,True,True,0,0,0,0,0
ema_rsi,False,True,True,False,True,False,0,0,0,0,0
ema_rsi,False,True,True,False,False,True,0,0,0,0,0
ema_rsi,False,True,True,False,False,False,0,0,0,0,0
ema_rsi,False,True,False,True,True,True,0,0,0,0,0
ema_rsi,False,True,False,True,True,False,0,0,0,0,0
ema_rsi,False,True,False,True,False,True,0,0,0,0,0
ema_rsi,False,True,False,True,False,False,0,0,0,0,0
ema_rsi,False,True,False,False,True,True,0,0,0,0,0
ema_rsi,False,True,False,False,True,False,0,0,0,0,0
ema_rsi,False,True,False,False,False,True,0,0,0,0,0
ema_rsi,False,True,False,False,False,False,0,0,0,0,0
ema_rsi,False,False,True,True,True,True,0,0,0,0,0
ema_rsi,False,False,True,True,True,False,0,0,0,0,0
ema_rsi,False,False,True,True,False,True,0,0,0,0,0
ema_rsi,False,False,True,True,False,False,0,0,0,0,0
ema_rsi,False,False,True,False,True,True,0,0,0,0,0
ema_rsi,False,False,True,False,True,False,0,0,0,0,0
ema_rsi,False,False,True,False,False,True,0,0,0,0,0
ema_rsi,False,False,True,False,False,False,0,0,0,0,0
ema_rsi,False,False,False,True,True,True,0,0,0,0,0
ema_rsi,False,False,False,True,True,False,0,0,0,0,0
ema_rsi,False,False,False,True,False,True,0,0,0,0,0
ema_rsi,False,False,False,True,False,False,0,0,0,0,0
ema_rsi,False,False,False,False,True,True,0,0,0,0,0
ema_rsi,False,False,False,False,True,False,0,0,0,0,0
ema_rsi,False,False,False,False,False,True,0,0,0,0,0
ema_rsi,False,False,False,False,False,False,0,0,0,0,0
institutional_momentum,True,True,True,True,True,True,0,0,0,0,0
institutional_momentum,True,True,True,True,True,False,0,0,0,0,0
institutional_momentum,True,True,True,True,False,True,0,0,0,0,0
institutional_momentum,True,True,True,True,False,False,0,0,0,0,0
institutional_momentum,True,True,True,False,True,True,0,0,0,0,0
institutional_momentum,True,True,True,False,True,False,0,0,0,0,0
institutional_momentum,True,True,True,False,False,True,0,0,0,0,0
institutional_momentum,True,True,True,False,False,False,0,0,0,0,0
